CALCULO_DEL_ESPECTRO											
ACELEROGRAMA_=	                 C:\Documents and Settings\Juan Manuel\Escritorio\FUK000_AT2.txt										
ARCHIVO_=	C:\Documents and Settings\Juan Manuel\Escritorio\Interaccion Suelo Estructura\FU										

ACELERACION_MAXIMA_ORIGINAL=	0.03369	 g									
CONSTANTE NORMALIZACION_=	1										
ACELERACION_MAXIMA_=	0.03369	 g									
ACELERACION_MAXIMA_=	0.33034	 m/s2									
ESPECTRO_DE_ACELERACIONES_(m/s2_y_g)											
PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20	PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20
1.6	0.6523	0.4847	0.3888	0.3385	0.2863	1.6	0.0665	0.0494	0.0396	0.0345	0.0292
1.62	0.703	0.4845	0.3852	0.3356	0.2767	1.62	0.0717	0.0494	0.0393	0.0342	0.0282
1.64	0.723	0.4823	0.379	0.3301	0.2674	1.64	0.0737	0.0492	0.0387	0.0337	0.0273
1.66	0.718	0.4741	0.3706	0.3219	0.2583	1.66	0.0732	0.0483	0.0378	0.0328	0.0263
1.68	0.6803	0.4598	0.3591	0.312	0.2495	1.68	0.0694	0.0469	0.0366	0.0318	0.0254
1.7	0.646	0.441	0.3448	0.2999	0.241	1.7	0.0659	0.045	0.0352	0.0306	0.0246
1.72	0.6321	0.4196	0.3278	0.2856	0.2329	1.72	0.0645	0.0428	0.0334	0.0291	0.0237
1.74	0.6195	0.4059	0.317	0.2806	0.2251	1.74	0.0632	0.0414	0.0323	0.0286	0.023
1.76	0.5949	0.3878	0.3118	0.2755	0.2179	1.76	0.0607	0.0395	0.0318	0.0281	0.0222
1.78	0.5583	0.3779	0.3053	0.2696	0.211	1.78	0.0569	0.0385	0.0311	0.0275	0.0215
1.8	0.5301	0.368	0.2975	0.2626	0.2044	1.8	0.0541	0.0375	0.0303	0.0268	0.0208
1.82	0.497	0.3586	0.2887	0.2544	0.1981	1.82	0.0507	0.0366	0.0294	0.0259	0.0202
1.84	0.4628	0.3486	0.279	0.2457	0.1921	1.84	0.0472	0.0355	0.0285	0.0251	0.0196
1.86	0.4426	0.3378	0.2689	0.2363	0.1865	1.86	0.0451	0.0344	0.0274	0.0241	0.019
1.88	0.4349	0.3262	0.2582	0.2358	0.181	1.88	0.0443	0.0333	0.0263	0.024	0.0185
1.9	0.4211	0.3138	0.2578	0.2356	0.1759	1.9	0.0429	0.032	0.0263	0.024	0.0179
1.92	0.3998	0.3001	0.257	0.2348	0.171	1.92	0.0408	0.0306	0.0262	0.0239	0.0174
1.94	0.3739	0.2977	0.2553	0.2335	0.1663	1.94	0.0381	0.0304	0.026	0.0238	0.017
1.96	0.3501	0.294	0.2529	0.2315	0.1651	1.96	0.0357	0.03	0.0258	0.0236	0.0168
1.98	0.3393	0.2892	0.2497	0.229	0.1643	1.98	0.0346	0.0295	0.0255	0.0233	0.0168
2	0.3309	0.2841	0.246	0.2259	0.1632	2	0.0337	0.029	0.0251	0.023	0.0166
2.02	0.3257	0.2783	0.2417	0.2222	0.1618	2.02	0.0332	0.0284	0.0246	0.0227	0.0165
2.04	0.3211	0.2723	0.2367	0.2183	0.1601	2.04	0.0327	0.0278	0.0241	0.0223	0.0163
2.06	0.3156	0.2654	0.2315	0.2139	0.1585	2.06	0.0322	0.0271	0.0236	0.0218	0.0162
2.08	0.3066	0.2581	0.2258	0.209	0.1566	2.08	0.0313	0.0263	0.023	0.0213	0.016
2.1	0.2941	0.2498	0.2198	0.2041	0.1546	2.1	0.03	0.0255	0.0224	0.0208	0.0158
2.12	0.279	0.2412	0.2136	0.1989	0.1523	2.12	0.0285	0.0246	0.0218	0.0203	0.0155
2.14	0.2631	0.2323	0.207	0.1934	0.1499	2.14	0.0268	0.0237	0.0211	0.0197	0.0153
2.16	0.2482	0.2233	0.2005	0.1878	0.1473	2.16	0.0253	0.0228	0.0204	0.0191	0.015
2.18	0.2358	0.2149	0.194	0.1822	0.1446	2.18	0.024	0.0219	0.0198	0.0186	0.0147
2.2	0.2259	0.2069	0.1875	0.1766	0.1421	2.2	0.023	0.0211	0.0191	0.018	0.0145
2.22	0.2181	0.1993	0.1809	0.1708	0.1394	2.22	0.0222	0.0203	0.0184	0.0174	0.0142
2.24	0.2117	0.1919	0.1745	0.165	0.1366	2.24	0.0216	0.0196	0.0178	0.0168	0.0139
2.26	0.2061	0.185	0.1681	0.1593	0.1338	2.26	0.021	0.0189	0.0171	0.0162	0.0136
2.28	0.2009	0.1781	0.1616	0.1535	0.131	2.28	0.0205	0.0182	0.0165	0.0157	0.0134
2.3	0.1956	0.171	0.155	0.1477	0.1289	2.3	0.0199	0.0174	0.0158	0.0151	0.0131
2.32	0.19	0.1635	0.1483	0.1418	0.1276	2.32	0.0194	0.0167	0.0151	0.0145	0.013
2.34	0.1907	0.1559	0.1416	0.1358	0.1264	2.34	0.0194	0.0159	0.0144	0.0138	0.0129
2.36	0.1928	0.1477	0.1348	0.1306	0.1251	2.36	0.0197	0.0151	0.0137	0.0133	0.0128
2.38	0.1923	0.1401	0.133	0.1301	0.1239	2.38	0.0196	0.0143	0.0136	0.0133	0.0126
2.4	0.1885	0.1406	0.1332	0.1296	0.1227	2.4	0.0192	0.0143	0.0136	0.0132	0.0125
2.42	0.1804	0.1426	0.1331	0.129	0.1215	2.42	0.0184	0.0145	0.0136	0.0132	0.0124
2.44	0.1677	0.1443	0.133	0.1284	0.1203	2.44	0.0171	0.0147	0.0136	0.0131	0.0123
2.46	0.172	0.1454	0.1327	0.1276	0.1191	2.46	0.0175	0.0148	0.0135	0.013	0.0121
2.48	0.1756	0.1457	0.132	0.1267	0.1178	2.48	0.0179	0.0149	0.0135	0.0129	0.012
2.5	0.1764	0.1452	0.1311	0.1256	0.1165	2.5	0.018	0.0148	0.0134	0.0128	0.0119
2.52	0.1744	0.1437	0.1298	0.1243	0.1153	2.52	0.0178	0.0147	0.0132	0.0127	0.0118
2.54	0.1698	0.1416	0.1283	0.1229	0.114	2.54	0.0173	0.0144	0.0131	0.0125	0.0116
2.56	0.1631	0.1388	0.1266	0.1214	0.1126	2.56	0.0166	0.0142	0.0129	0.0124	0.0115
2.58	0.1549	0.1357	0.1247	0.1198	0.1113	2.58	0.0158	0.0138	0.0127	0.0122	0.0113
2.6	0.146	0.1323	0.1227	0.1182	0.1099	2.6	0.0149	0.0135	0.0125	0.0121	0.0112
2.62	0.1373	0.1291	0.1207	0.1164	0.1086	2.62	0.014	0.0132	0.0123	0.0119	0.0111
2.64	0.1297	0.1261	0.1188	0.1147	0.1072	2.64	0.0132	0.0129	0.0121	0.0117	0.0109
2.66	0.1239	0.1234	0.1169	0.113	0.1058	2.66	0.0126	0.0126	0.0119	0.0115	0.0108
2.68	0.1204	0.1213	0.115	0.1113	0.1044	2.68	0.0123	0.0124	0.0117	0.0113	0.0106
2.7	0.1191	0.1196	0.1133	0.1096	0.1029	2.7	0.0121	0.0122	0.0116	0.0112	0.0105
2.72	0.1198	0.1183	0.1117	0.108	0.1015	2.72	0.0122	0.0121	0.0114	0.011	0.0104
2.74	0.1218	0.1174	0.1101	0.1063	0.1001	2.74	0.0124	0.012	0.0112	0.0108	0.0102
2.76	0.1245	0.1167	0.1087	0.1047	0.0986	2.76	0.0127	0.0119	0.0111	0.0107	0.0101
2.78	0.1273	0.1161	0.1073	0.1031	0.0972	2.78	0.013	0.0118	0.0109	0.0105	0.0099
2.8	0.1295	0.1154	0.106	0.1015	0.0957	2.8	0.0132	0.0118	0.0108	0.0103	0.0098
2.82	0.1309	0.1146	0.1046	0.0999	0.0943	2.82	0.0134	0.0117	0.0107	0.0102	0.0096
2.84	0.1312	0.1136	0.1032	0.0982	0.0928	2.84	0.0134	0.0116	0.0105	0.01	0.0095
2.86	0.1304	0.1123	0.1018	0.0966	0.0913	2.86	0.0133	0.0115	0.0104	0.0098	0.0093
2.88	0.1285	0.1109	0.1003	0.095	0.0899	2.88	0.0131	0.0113	0.0102	0.0097	0.0092
2.9	0.1257	0.1092	0.0987	0.0934	0.0884	2.9	0.0128	0.0111	0.0101	0.0095	0.009
2.92	0.1222	0.1073	0.0971	0.0919	0.087	2.92	0.0125	0.0109	0.0099	0.0094	0.0089
2.94	0.1185	0.1052	0.0955	0.0903	0.0856	2.94	0.0121	0.0107	0.0097	0.0092	0.0087
2.96	0.1147	0.1032	0.0938	0.0887	0.0841	2.96	0.0117	0.0105	0.0096	0.009	0.0086
2.98	0.111	0.101	0.0921	0.0872	0.0827	2.98	0.0113	0.0103	0.0094	0.0089	0.0084
3	0.1077	0.0989	0.0903	0.0856	0.0813	3	0.011	0.0101	0.0092	0.0087	0.0083
3.02	0.106	0.0968	0.0886	0.0839	0.0799	3.02	0.0108	0.0099	0.009	0.0086	0.0081
3.04	0.1054	0.0948	0.0869	0.0823	0.0784	3.04	0.0107	0.0097	0.0089	0.0084	0.008
3.06	0.1044	0.0929	0.0851	0.0807	0.077	3.06	0.0106	0.0095	0.0087	0.0082	0.0079
3.08	0.1031	0.091	0.0833	0.079	0.0756	3.08	0.0105	0.0093	0.0085	0.0081	0.0077
3.1	0.1016	0.0891	0.0815	0.0774	0.0742	3.1	0.0104	0.0091	0.0083	0.0079	0.0076
3.12	0.0998	0.0872	0.0797	0.0757	0.0728	3.12	0.0102	0.0089	0.0081	0.0077	0.0074
3.14	0.0974	0.0852	0.078	0.074	0.0714	3.14	0.0099	0.0087	0.0079	0.0076	0.0073
3.16	0.0976	0.0833	0.0761	0.0724	0.0703	3.16	0.01	0.0085	0.0078	0.0074	0.0072
3.18	0.0997	0.0812	0.0743	0.0717	0.0702	3.18	0.0102	0.0083	0.0076	0.0073	0.0072
3.2	0.1008	0.079	0.0739	0.0718	0.07	3.2	0.0103	0.0081	0.0075	0.0073	0.0071
3.22	0.1006	0.0788	0.074	0.0718	0.0698	3.22	0.0103	0.008	0.0075	0.0073	0.0071
3.24	0.0992	0.0791	0.0741	0.0718	0.0696	3.24	0.0101	0.0081	0.0076	0.0073	0.0071
3.26	0.0967	0.0807	0.0741	0.0718	0.0694	3.26	0.0099	0.0082	0.0076	0.0073	0.0071
3.28	0.0964	0.0822	0.0749	0.072	0.0692	3.28	0.0098	0.0084	0.0076	0.0073	0.0071
3.3	0.0986	0.0834	0.0756	0.0725	0.069	3.3	0.0101	0.0085	0.0077	0.0074	0.007
3.32	0.1001	0.0844	0.0762	0.0729	0.0687	3.32	0.0102	0.0086	0.0078	0.0074	0.007
3.34	0.1009	0.0851	0.0766	0.0732	0.0685	3.34	0.0103	0.0087	0.0078	0.0075	0.007
3.36	0.1012	0.0855	0.0769	0.0734	0.0682	3.36	0.0103	0.0087	0.0078	0.0075	0.007
3.38	0.1009	0.0858	0.0772	0.0736	0.068	3.38	0.0103	0.0087	0.0079	0.0075	0.0069
3.4	0.1002	0.0859	0.0773	0.0736	0.0677	3.4	0.0102	0.0088	0.0079	0.0075	0.0069
3.42	0.0991	0.0858	0.0773	0.0736	0.0674	3.42	0.0101	0.0087	0.0079	0.0075	0.0069
3.44	0.0979	0.0855	0.0773	0.0735	0.067	3.44	0.01	0.0087	0.0079	0.0075	0.0068
3.46	0.0965	0.0852	0.0771	0.0733	0.0667	3.46	0.0098	0.0087	0.0079	0.0075	0.0068
3.48	0.0952	0.0847	0.0769	0.0731	0.0663	3.48	0.0097	0.0086	0.0078	0.0074	0.0068
3.5	0.0939	0.0843	0.0765	0.0727	0.0659	3.5	0.0096	0.0086	0.0078	0.0074	0.0067
3.52	0.0928	0.0838	0.0762	0.0724	0.0655	3.52	0.0095	0.0085	0.0078	0.0074	0.0067
3.54	0.092	0.0833	0.0757	0.072	0.0651	3.54	0.0094	0.0085	0.0077	0.0073	0.0066
3.56	0.0914	0.0827	0.0753	0.0716	0.0647	3.56	0.0093	0.0084	0.0077	0.0073	0.0066
3.58	0.091	0.0822	0.0747	0.0711	0.0642	3.58	0.0093	0.0084	0.0076	0.0072	0.0065
3.6	0.0907	0.0816	0.0742	0.0705	0.0638	3.6	0.0093	0.0083	0.0076	0.0072	0.0065
